127.0.0.1 - - [14/Mar/2021:13:11:05 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:06 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:06 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:28 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:28 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:28 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:34 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:34 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:34 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:50 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:51 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:51 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:53 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:57 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:57 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:11:57 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 1456
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:25 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:28 +0800] "POST /Int_Prog_2/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:28 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:30 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:31 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:32 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:12:33 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:22:24 +0800] "GET /Int_Prog_2/update HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:11 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:51 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:52 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:54 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:54 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2384
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:54 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 2983
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:54 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:23:58 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:24:46 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:24:49 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 2317
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:25:21 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:25:23 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2853
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:26:13 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:26:20 +0800] "POST /Int_Prog_2/update HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:26:33 +0800] "POST /Int_Prog_2/update HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:26:34 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:27:21 +0800] "POST /Int_Prog_2/update HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:27:35 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:27:35 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:27:37 +0800] "POST /Int_Prog_2/update HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:27:46 +0800] "POST /Int_Prog_2/update HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:29 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:29 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:29 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:29 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:33 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:38 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:38 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:38 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:28:43 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:29:12 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:29:12 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:29:12 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:29:59 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:02 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:02 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:02 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:48 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:52 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:52 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:30:52 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:31:29 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:31:30 +0800] "GET /Int_Prog_2/employee?id=20 HTTP/1.1" 200 3166
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:31:34 +0800] "POST /Int_Prog_2/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:31:34 +0800] "GET /Int_Prog_2/employee?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Mar/2021:13:31:34 +0800] "GET /Int_Prog_2/employee HTTP/1.1" 200 2261
