127.0.0.1 - - [05/Apr/2021:13:30:00 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:01 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:01 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 6189
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:01 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:15 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:15 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 6189
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:15 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:16 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:16 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:19 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:21 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:21 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:27 +0800] "GET /Int_Prog_2/register HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:30:27 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:37 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:39 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:39 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:39 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:40 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:40 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:40 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:40 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [05/Apr/2021:13:32:40 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
