127.0.0.1 - - [24/May/2021:06:29:29 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/May/2021:06:29:30 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [24/May/2021:06:29:30 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:29:35 +0800] "GET /Int_Prog_2/ HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [24/May/2021:06:29:35 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:29:35 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/May/2021:06:32:31 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:32:31 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [24/May/2021:06:32:34 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [24/May/2021:06:32:34 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:32:34 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:18 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:18 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:18 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:21 +0800] "POST /Int_Prog_2/login HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:21 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:21 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2?page=home HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2/?page=home HTTP/1.1" 200 4887
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2/script/moment.js HTTP/1.1" 200 179572
0:0:0:0:0:0:0:1 - - [24/May/2021:06:33:22 +0800] "GET /Int_Prog_2/assets/logo/horizontal.png HTTP/1.1" 200 17808
0:0:0:0:0:0:0:1 - - [24/May/2021:06:35:44 +0800] "GET /Int_Prog_2/login HTTP/1.1" 200 1060
0:0:0:0:0:0:0:1 - - [24/May/2021:06:35:44 +0800] "GET /Int_Prog_2/css/style.css HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [24/May/2021:06:35:44 +0800] "GET /Int_Prog_2/assets/logo/vertical.png HTTP/1.1" 200 16533
